Designator,Mid X,Mid Y,Rotation,Layer
C10,120.3125,-109.7825,0.0,top
C11,54.7475,-113.3225,0.0,top
C12,83.7366,-105.6525,0.0,top
C13,115.7425,-107.6725,270.0,top
C14,121.2125,-107.6725,270.0,top
C15,40.7725,-113.1925,270.0,top
C16,69.7616,-105.521409,270.0,top
C17,118.9825,-103.6525,180.0,top
C18,46.2025,-111.2325,0.0,top
C19,75.1916,-103.561409,0.0,top
C2,70.7516,-116.8625,90.0,top
C20,35.7925,-108.2075,90.0,top
C21,67.9416,-107.2775,270.0,top
C22,41.612499,-124.5525,180.0,top
C23,41.6525,-117.6325,90.0,top
C24,58.6125,-120.6825,270.0,top
C26,121.2125,-105.7925,270.0,top
C27,38.8825,-110.8375,270.0,top
C28,67.8716,-103.166409,270.0,top
C29,41.05,-106.46,180.0,top
C3,114.4925,-108.0975,270.0,top
C30,70.0316,-98.911409,180.0,top
C31,48.0325,-111.2525,0.0,top
C32,77.0216,-103.581409,0.0,top
C33,46.7525,-109.8525,90.0,top
C34,75.7416,-102.181409,90.0,top
C39,123.1275,-122.115,180.0,top
C4,91.8316,-117.6425,90.0,top
C40,47.2425,-108.4425,180.0,top
C41,76.2316,-100.771409,180.0,top
C42,50.9825,-101.9975,270.0,top
C43,80.1816,-94.3875,270.0,top
C44,131.1325,-73.1725,180.0,top
C45,128.0725,-74.0525,0.0,top
C46,122.5325,-95.0425,0.0,top
C47,143.8125,-99.2725,180.0,top
C5,87.6016,-112.9875,270.0,top
C52,147.5425,-84.8325,270.0,top
C53,146.3925,-76.3025,90.0,top
C54,148.0325,-88.9425,0.0,top
C55,122.5225,-90.5425,180.0,top
C56,137.6525,-99.5825,270.0,top
C57,145.3725,-98.8225,270.0,top
C58,122.5225,-97.0425,180.0,top
C59,122.5325,-85.5425,180.0,top
C6,143.4325,-103.9175,90.0,top
C60,130.3225,-74.3925,0.0,top
C61,137.193089,-74.121911,45.0,top
C66,122.5325,-96.0425,180.0,top
C67,148.5025,-84.8325,270.0,top
C68,146.3525,-98.8225,270.0,top
C69,123.1225,-79.7025,270.0,top
C7,143.4325,-110.5925,90.0,top
C70,140.8925,-74.4725,180.0,top
C71,132.1425,-99.5825,270.0,top
C72,152.07,-127.0675,270.0,top
C73,152.12,-120.3175,270.0,top
C74,152.035,-106.7025,270.0,top
C75,152.09,-113.4775,270.0,top
C76,152.6325,-87.8475,90.0,top
C77,154.84,-80.2975,270.0,top
C78,154.84625,-93.73875,270.0,top
C79,154.84625,-100.49375,270.0,top
C8,143.58,-124.2175,90.0,top
C80,159.95,-32.0325,90.0,top
C81,160.0,-38.8325,90.0,top
C82,159.8875,-52.2425,90.0,top
C83,160.02,-45.5275,90.0,top
C84,136.205,-55.3675,270.0,top
C85,136.305,-48.5175,270.0,top
C86,136.325,-34.9675,270.0,top
C87,136.28,-41.7525,270.0,top
C9,143.5325,-117.3775,90.0,top
D1,141.2325,-103.9175,270.0,top
D2,141.2325,-110.6175,270.0,top
D21,98.737371,-102.722764,90.0,top
D22,123.527629,-62.422236,270.0,top
D23,106.2825,-62.4175,270.0,top
D24,89.0725,-62.4275,270.0,top
D25,106.607371,-102.532764,90.0,top
D26,114.927629,-62.362236,270.0,top
D27,97.6525,-62.4175,270.0,top
D28,80.3825,-62.3675,270.0,top
D29,71.6925,-62.3675,270.0,top
D3,141.23,-124.2175,270.0,top
D30,54.4525,-62.3825,270.0,top
D31,63.0825,-62.4425,270.0,top
D32,45.7525,-62.4325,270.0,top
D33,154.22,-127.0425,90.0,top
D34,154.22,-120.2425,90.0,top
D35,154.185,-106.6775,90.0,top
D36,154.19,-113.4025,90.0,top
D37,157.14,-86.9975,90.0,top
D38,157.14,-80.2475,90.0,top
D39,157.14625,-93.73875,90.0,top
D4,141.2825,-117.3775,270.0,top
D40,157.14625,-100.49375,90.0,top
D41,157.7,-32.0575,270.0,top
D42,157.7,-38.8075,270.0,top
D43,157.6875,-52.2925,270.0,top
D44,157.72,-45.5775,270.0,top
D45,138.555,-55.3425,90.0,top
D46,138.605,-48.5425,90.0,top
D47,138.575,-34.9925,90.0,top
D48,138.58,-41.7525,90.0,top
D49,95.91,-47.15,90.0,top
D50,55.11,-47.15,90.0,top
D51,75.51,-47.15,90.0,top
D52,116.11,-47.15,90.0,top
F1,64.7416,-125.4325,90.0,top
F2,46.5525,-94.8025,0.0,top
F3,67.7016,-94.8025,0.0,top
F4,32.11,-77.05,180.0,top
J1,104.8066,-118.5225,270.0,top
J11,120.1725,-127.6775,0.0,top
J16,37.61,-37.345,180.0,top
J2,135.9825,-105.0925,0.0,top
J26,98.57,-37.345,180.0,top
J27,118.89,-37.345,180.0,top
J28,100.057371,-90.617764,270.0,top
J29,99.977371,-96.822764,0.0,top
J3,135.9825,-111.8425,0.0,top
J30,120.217629,-74.392236,90.0,top
J31,120.277629,-68.272236,180.0,top
J32,102.9225,-74.3975,90.0,top
J33,103.0425,-68.2775,180.0,top
J34,85.6725,-74.3975,90.0,top
J35,85.7525,-68.2975,180.0,top
J36,108.707371,-90.617764,270.0,top
J37,108.607371,-96.772764,0.0,top
J38,111.567629,-74.392236,90.0,top
J39,111.677629,-68.212236,180.0,top
J4,135.98,-125.3925,0.0,top
J40,94.2925,-74.3975,90.0,top
J41,94.3975,-68.2825,180.0,top
J42,77.0225,-74.3975,90.0,top
J43,77.0725,-68.1875,180.0,top
J44,68.3825,-74.3975,90.0,top
J45,68.4425,-68.1975,180.0,top
J46,51.1025,-74.3875,90.0,top
J47,51.2025,-68.2325,180.0,top
J48,59.7325,-74.3975,90.0,top
J49,59.8425,-68.2075,180.0,top
J5,135.9825,-118.6275,0.0,top
J50,42.4525,-74.3875,90.0,top
J51,42.5275,-68.2025,180.0,top
J52,159.48,-125.3525,0.0,top
J53,159.48,-118.6025,0.0,top
J54,159.445,-105.0975,0.0,top
J55,159.44,-111.8525,0.0,top
J56,162.41,-85.8375,180.0,top
J57,162.39,-79.0725,180.0,top
J58,162.41625,-92.58875,180.0,top
J59,162.41625,-99.34375,180.0,top
J6,119.5025,-112.4325,270.0,top
J60,152.2725,-33.8625,180.0,top
J61,152.2725,-40.6325,180.0,top
J62,152.2725,-54.1425,180.0,top
J63,152.2825,-47.3825,180.0,top
J64,143.8325,-54.1525,180.0,top
J65,143.8375,-47.3925,180.0,top
J66,143.8525,-33.8425,180.0,top
J67,143.8625,-40.6025,180.0,top
J68,57.93,-37.345,180.0,top
J69,78.2425,-37.3575,180.0,top
L1,50.9325,-121.8325,90.0,top
L2,79.9216,-114.1625,90.0,top
L3,125.8225,-106.2068,90.0,top
L4,59.7316,-105.7325,0.0,top
L5,88.7216,-98.0625,0.0,top
R1,142.57,-106.7175,0.0,top
R10,147.3,-113.305,270.0,top
R100,118.002629,-60.257236,270.0,top
R101,120.352629,-59.422236,180.0,top
R102,100.7075,-60.2025,270.0,top
R103,103.0325,-59.4175,180.0,top
R104,83.5475,-60.2125,270.0,top
R105,85.8975,-59.4275,180.0,top
R106,111.797371,-103.037764,270.0,top
R107,109.707371,-105.542764,0.0,top
R108,109.402629,-60.172236,270.0,top
R109,111.727629,-59.362236,180.0,top
R11,44.3225,-113.6525,180.0,top
R110,92.0525,-60.2275,270.0,top
R111,94.4025,-59.4175,180.0,top
R112,74.8075,-60.1525,270.0,top
R113,77.1825,-59.3675,180.0,top
R114,66.1425,-60.2025,270.0,top
R115,68.4925,-59.4175,180.0,top
R116,49.0275,-60.1675,270.0,top
R117,51.3775,-59.3325,180.0,top
R118,57.5825,-60.2025,270.0,top
R119,59.9075,-59.3925,180.0,top
R12,44.2825,-112.6625,0.0,top
R120,42.6475,-57.825,180.0,top
R121,42.6275,-59.3825,180.0,top
R122,152.8825,-124.2425,180.0,top
R123,152.8575,-116.6925,180.0,top
R124,147.2325,-127.59,270.0,top
R125,148.2825,-127.5425,270.0,top
R126,146.1825,-127.605,90.0,top
R127,149.7525,-127.1025,180.0,top
R128,152.84,-103.9225,180.0,top
R129,152.8525,-110.6025,180.0,top
R13,73.3116,-105.981409,180.0,top
R130,147.1575,-117.725,90.0,top
R131,148.2075,-117.725,90.0,top
R132,146.1075,-117.73,270.0,top
R133,149.2825,-117.725,270.0,top
R134,155.79,-84.1475,180.0,top
R135,156.9825,-75.47,90.0,top
R136,151.06375,-91.45875,90.0,top
R137,150.06375,-91.46875,90.0,top
R138,152.06375,-91.40875,270.0,top
R139,149.06375,-91.45875,270.0,top
R14,73.2716,-104.991409,0.0,top
R140,155.79625,-90.88875,180.0,top
R141,155.80875,-97.64375,180.0,top
R142,151.11375,-101.23875,270.0,top
R143,150.11375,-101.24875,270.0,top
R144,152.11375,-101.23875,90.0,top
R145,149.11375,-101.25875,90.0,top
R146,159.05,-34.9075,0.0,top
R147,159.075,-42.4075,0.0,top
R148,164.6625,-31.575,90.0,top
R149,163.6625,-31.575,90.0,top
R15,149.3,-103.355,270.0,top
R150,165.6625,-31.555,270.0,top
R151,162.6625,-31.555,270.0,top
R152,159.025,-55.1425,0.0,top
R153,159.0575,-48.4275,0.0,top
R154,164.7125,-41.355,270.0,top
R155,163.7125,-41.365,270.0,top
R156,165.7125,-41.345,90.0,top
R157,162.7125,-41.355,90.0,top
R158,137.2175,-52.4425,180.0,top
R159,137.2675,-45.6925,180.0,top
R16,146.3,-103.395,270.0,top
R160,131.88,-46.855,270.0,top
R161,132.88,-46.855,270.0,top
R162,130.88,-46.905,90.0,top
R163,133.88,-46.855,90.0,top
R164,137.2375,-31.3925,180.0,top
R165,137.3625,-38.2725,180.0,top
R166,131.98,-37.035,90.0,top
R167,132.98,-37.025,90.0,top
R168,130.98,-37.015,270.0,top
R169,133.98,-37.025,270.0,top
R17,149.3,-113.305,90.0,top
R18,146.3,-113.305,90.0,top
R19,41.7675,-113.171409,270.0,top
R2,142.57,-114.4425,0.0,top
R20,70.7566,-105.501409,270.0,top
R21,116.5425,-103.1825,90.0,top
R22,46.1925,-112.1725,180.0,top
R23,75.1825,-104.5025,180.0,top
R24,45.8225,-107.0225,90.0,top
R25,44.3625,-106.571409,0.0,top
R26,74.8091,-99.346409,90.0,top
R27,73.3516,-98.901409,0.0,top
R28,151.4025,-73.4525,0.0,top
R29,151.355,-79.3425,0.0,top
R3,142.58,-127.1175,0.0,top
R30,129.435,-66.0725,0.0,top
R4,142.6325,-120.2275,0.0,top
R40,118.9625,-102.6525,0.0,top
R41,117.5425,-103.1725,270.0,top
R42,38.5075,-108.2725,0.0,top
R43,67.4941,-100.601409,0.0,top
R44,47.7025,-109.841409,270.0,top
R45,76.6916,-102.171409,270.0,top
R46,45.6225,-109.341409,270.0,top
R47,74.6116,-101.671409,270.0,top
R5,57.7325,-116.6825,270.0,top
R52,117.4075,-121.94,180.0,top
R53,123.1225,-120.49,0.0,top
R54,46.7625,-107.0225,90.0,top
R55,75.7491,-99.346409,90.0,top
R6,86.7216,-109.0375,90.0,top
R60,47.7025,-107.0225,90.0,top
R61,76.6891,-99.346409,90.0,top
R7,148.3,-103.405,90.0,top
R8,147.3,-103.405,90.0,top
R80,95.98,-50.83,180.0,top
R81,95.97,-49.63,180.0,top
R82,140.8725,-100.7475,270.0,top
R83,139.3725,-100.7475,270.0,top
R84,55.11,-50.75,180.0,top
R85,55.11,-49.55,180.0,top
R86,75.51,-50.75,180.0,top
R87,75.51,-49.55,180.0,top
R88,116.22,-50.75,180.0,top
R89,116.18,-49.55,180.0,top
R9,148.3,-113.305,270.0,top
R90,98.41,-37.35,0.0,bottom
R91,57.685,-37.325,180.0,bottom
R92,77.985,-37.3,0.0,bottom
R93,118.31,-37.4,0.0,bottom
R94,47.3725,-37.2725,0.0,bottom
R98,103.672371,-107.202764,180.0,top
R99,101.862371,-105.527764,0.0,top
SW1,131.1725,-69.8625,270.0,top
SW2,151.4,-76.41125,0.0,top
U1,147.8,-108.3425,180.0,top
U10,78.7516,-98.9225,0.0,top
U11,120.2725,-119.69,270.0,top
U14,135.4025,-86.81,180.0,top
U16,93.9,-48.74,180.0,top
U17,114.25,-48.74,180.0,top
U18,102.507371,-104.337764,180.0,top
U19,119.707629,-60.612236,0.0,top
U2,118.5025,-106.692501,270.0,top
U20,102.4125,-60.6075,0.0,top
U21,85.2525,-60.6175,0.0,top
U22,110.417371,-104.322764,180.0,top
U23,111.107629,-60.552236,0.0,top
U24,93.7825,-60.6075,0.0,top
U25,76.5625,-60.5575,0.0,top
U26,67.8225,-60.5925,0.0,top
U27,50.6825,-60.6075,0.0,top
U28,59.2625,-60.5825,0.0,top
U29,41.9825,-60.5725,0.0,top
U30,147.7325,-122.655,0.0,top
U31,150.56375,-96.34875,180.0,top
U32,164.1625,-36.445,180.0,top
U33,132.43,-41.955,0.0,top
U34,53.2325,-48.7475,180.0,top
U35,73.5525,-48.7375,180.0,top
U4,42.7625,-109.6225,180.0,top
U5,71.7525,-101.9525,180.0,top
U7,49.7625,-110.6175,0.0,top
U8,49.7625,-106.5925,0.0,top
U9,78.748666,-102.953962,0.0,top
