Designator,Mid X,Mid Y,Rotation,Layer
C10,137.7925,-119.4025,0.0,top
C11,72.2275,-122.9425,0.0,top
C12,101.2166,-115.2725,0.0,top
C13,132.73,-114.525,90.0,bottom
C14,133.927017,-126.312983,225.0,top
C15,58.2525,-122.8125,270.0,top
C16,87.2416,-115.141409,270.0,top
C17,136.4625,-113.2725,180.0,top
C18,63.6825,-120.8525,0.0,top
C19,92.6716,-113.181409,0.0,top
C2,88.2316,-126.4825,90.0,top
C20,53.2725,-117.8275,90.0,top
C21,85.4216,-116.8975,270.0,top
C22,59.092499,-134.1725,180.0,top
C23,59.1325,-127.2525,90.0,top
C24,76.0925,-130.3025,270.0,top
C26,138.6925,-115.4125,270.0,top
C27,56.3625,-120.4575,270.0,top
C28,85.3516,-112.786409,270.0,top
C29,58.53,-116.08,180.0,top
C3,131.9725,-117.7175,270.0,top
C30,87.5116,-108.531409,180.0,top
C31,65.5125,-120.8725,0.0,top
C32,94.5016,-113.201409,0.0,top
C33,64.2325,-119.4725,90.0,top
C34,93.2216,-111.801409,90.0,top
C35,136.43,-110.02,90.0,top
C39,140.6075,-131.735,180.0,top
C4,109.3116,-127.2625,90.0,top
C40,64.7225,-118.0625,180.0,top
C41,93.7116,-110.391409,180.0,top
C42,68.4625,-111.6175,270.0,top
C43,97.6616,-104.0075,270.0,top
C44,148.6125,-82.7925,180.0,top
C45,145.5525,-83.6725,0.0,top
C46,138.57,-105.27,0.0,top
C47,160.71,-110.3,90.0,top
C5,105.0816,-122.6075,270.0,top
C52,166.65,-95.4,270.0,top
C53,163.8725,-85.9225,90.0,top
C54,165.5125,-98.5625,0.0,top
C55,140.0025,-100.1625,180.0,top
C56,155.1325,-109.2025,270.0,top
C57,162.8525,-108.4425,270.0,top
C58,141.79,-106.78,270.0,top
C59,140.0125,-95.1625,180.0,top
C6,160.9125,-113.5375,90.0,top
C60,147.8025,-84.0125,0.0,top
C61,154.673089,-83.741911,45.0,top
C66,140.81,-106.78,270.0,top
C67,165.12,-94.63,270.0,top
C68,163.8325,-108.4425,270.0,top
C69,140.6025,-89.3225,270.0,top
C7,160.9125,-120.2125,90.0,top
C70,158.3725,-84.0925,180.0,top
C71,149.6225,-109.2025,270.0,top
C72,169.55,-136.6875,270.0,top
C73,169.6,-129.9375,270.0,top
C74,169.515,-116.3225,270.0,top
C75,169.57,-123.0975,270.0,top
C76,170.1125,-97.4675,90.0,top
C77,172.32,-89.9175,270.0,top
C78,172.32625,-103.35875,270.0,top
C79,172.32625,-110.11375,270.0,top
C8,161.06,-133.8375,90.0,top
C80,177.43,-41.6525,90.0,top
C81,177.48,-48.4525,90.0,top
C82,177.3675,-61.8625,90.0,top
