Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C3, C6, C7, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C9",0603,22,4.7uF,
"C11, C12",1210,2,4.7uF,
"C13, C14",0402,2,470nF,
"C15, C16, C26, C39, C44, C53, C54, C55, C56, C57, C58, C59, C60, C61, C66, C67, C68, C69, C70, C71",0402,20,100nF,
"C17, C45",0402,2,1uF,
"C18, C19",0402,2,56nF,
"C2, C22, C23, C4",C_Radial_D6.3mm_H7.0mm_P2.50mm,4,47uF,
"C20, C21",1206,2,2.2uF,
"C24, C5",1210,2,10uF,
"C27, C28",0603,2,100nF,
C29,0603,1,6.8pF,
C30,0402,1,6.8pF,
"C31, C32",0402,2,8.2nF,
"C33, C34",0402,2,1nF,
"C40, C41",0402,2,390pF,
"C42, C43",1210,2,22uF,
"C46, C47",0402,2,2.2uF,
C52,0402,1,4.7uF,
"D1, D2, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D51, D52",D_SOD-323,36,D55V0M1B2WS-7,
"F1, F4",Untitled,2,Fuse,
"F2, F3",XF-509P,2,Fuse,
J1,KF135T-10.16-2P,1,power in,
J11,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_14P,
J16,KF135T-10.16-2P,1,heater in,
"J2, J29, J3, J31, J33, J35, J37, J39, J4, J41, J43, J45, J47, J49, J5, J51, J52, J53, J54, J55, J56, J57, J58, J59, J60, J61, J62, J63, J64, J65, J66, J67",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,32,JST-XH,
"J26, J27, J68, J69",KF135T-10.16-2P,4,Screw_Terminal_01x02,
"J28, J30, J32, J34, J36, J38, J40, J42, J44, J46, J48, J50",PinHeader_2x03_P2.54mm_Vertical,12,jumpers,
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"L1, L2, L4, L5",IND_SRP1038A_BRN-M,4,3.3uH,
L3,7x6.6mm-inductor-M,1,2.2uH,
"R1, R122, R123, R128, R129, R134, R135, R140, R141, R146, R147, R152, R153, R158, R159, R164, R165, R2, R29, R3, R4",1206,21,4.7k,
"R10, R124, R125, R126, R127, R130, R131, R132, R133, R136, R137, R138, R139, R142, R143, R144, R145, R148, R149, R15, R150, R151, R154, R155, R156, R157, R16, R160, R161, R162, R163, R166, R167, R168, R169, R17, R18, R7, R8, R9",0402,40,1k,
"R100, R102, R104, R106, R108, R110, R112, R114, R116, R118, R120, R98",0603,12,100,
"R101, R103, R105, R107, R109, R111, R113, R115, R117, R119, R121, R99",0603,12,10k,
"R11, R13",0402,2,80.4k,
"R12, R14",0402,2,8.45k,
"R19, R20",0402,2,2.1ohm,
R21,0402,1,5.76k,
"R22, R23, R24, R25, R26, R27",0402,6,20k,
"R28, R30",1206,2,100,
R40,0402,1,51k,
R41,0402,1,22.1K,
"R42, R43",0603,2,1.02k,
"R44, R45",0402,2,1.47k,
R46,0402,1,1.5k,
R47,0402,1,3.4k,
"R5, R6",0603,2,1ohm,
"R52, R53",0402,2,5.1k,
R54,0402,1,21k,
R55,0402,1,18k,
"R60, R61",0402,2,130ohm,
"R80, R84, R86, R88",0402,4,100,
"R81, R85, R87, R89",0402,4,10k,
"R82, R83",0603,2,22,
"R90, R91, R92, R93, R94",Milliohm HoT-2-4.5-11-I,5,0Ohm,
"SW1, SW2",CAX TS-1185-W-4P-H1.8-160,2,SW_Push,
"U1, U30, U31, U32, U33",TSSOP-14_4.4x5mm_P0.65mm,5,MCP6004,
"U10, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U34, U35, U7, U8, U9",DOZ45N03T,20,DOZ45N03T,
U11,SOT-23-6,1,USBLC6-2SC6,
U14,LQFP-144_20x20mm_P0.5mm,1,STM32F407Z_E-G_Tx,
U2,RJR0014A-MFG,1,LM61430AFSQRJRRQ1,
"U4, U5",RGY0020B,2,LM25145RGYR,
