Designator,Mid X,Mid Y,Rotation,Layer
C10,644.7925,0.8175,0.0,top
C11,579.2275,-2.7225,0.0,top
C12,608.2166,4.9475,0.0,top
C13,639.73,5.695,90.0,bottom
C14,640.927017,-6.092983,225.0,top
C15,565.2525,-2.5925,270.0,top
C16,594.2416,5.078591,270.0,top
C17,643.4625,6.9475,180.0,top
C18,570.6825,-0.6325,0.0,top
C19,599.6716,7.038591,0.0,top
C2,595.2316,-6.2625,90.0,top
C20,560.2725,2.3925,90.0,top
C21,592.4216,3.3225,270.0,top
C22,566.092499,-13.9525,180.0,top
C23,566.1325,-7.0325,90.0,top
C24,583.0925,-10.0825,270.0,top
C26,645.6925,4.8075,270.0,top
C27,563.3625,-0.2375,270.0,top
C28,592.3516,7.433591,270.0,top
C29,565.53,4.14,180.0,top
C3,638.9725,2.5025,270.0,top
C30,594.5116,11.688591,180.0,top
C31,572.5125,-0.6525,0.0,top
C32,601.5016,7.018591,0.0,top
C33,571.2325,0.7475,90.0,top
C34,600.2216,8.418591,90.0,top
C35,643.43,10.2,90.0,top
C39,647.6075,-11.515,180.0,top
C4,616.3116,-7.0425,90.0,top
C40,571.7225,2.1575,180.0,top
C41,600.7116,9.828591,180.0,top
C42,575.4625,8.6025,270.0,top
C43,604.6616,16.2125,270.0,top
C44,655.6125,37.4275,180.0,top
C45,652.5525,36.5475,0.0,top
C46,647.0125,15.5575,0.0,top
C47,668.2925,11.3275,180.0,top
C5,612.0816,-2.3875,270.0,top
C52_2,647.29,22.765,270.0,top
C52,672.0225,25.7675,270.0,top
C53,670.8725,34.2975,90.0,top
C54,672.5125,21.6575,0.0,top
C55,647.0025,20.0575,180.0,top
C56,662.1325,11.0175,270.0,top
C57,669.8525,11.7775,270.0,top
C58,647.0025,13.5575,180.0,top
C59,647.0125,25.0575,180.0,top
C6,667.9125,6.6825,90.0,top
C60,654.8025,36.2075,0.0,top
C61,661.673089,36.478089,45.0,top
C66,647.0125,14.5575,180.0,top
C67,672.9825,25.7675,270.0,top
C68,670.8325,11.7775,270.0,top
C69,647.6025,30.8975,270.0,top
C7,667.9125,0.0075,90.0,top
C70,665.3725,36.1275,180.0,top
C71,656.6225,11.0175,270.0,top
C72,676.55,-16.4675,270.0,top
C73,676.6,-9.7175,270.0,top
C74,676.515,3.8975,270.0,top
C75,676.57,-2.8775,270.0,top
C76,677.1125,22.7525,90.0,top
C77,679.32,30.3025,270.0,top
C78,679.32625,16.86125,270.0,top
C79,679.32625,10.10625,270.0,top
C8,668.06,-13.6175,90.0,top
C80,684.43,78.5675,90.0,top
C81,684.48,71.7675,90.0,top
C82,684.3675,58.3575,90.0,top
C83,684.5,65.0725,90.0,top
C84,660.685,55.2325,270.0,top
C85,660.785,62.0825,270.0,top
C86,660.805,75.6325,270.0,top
C87,660.76,68.8475,270.0,top
C9,668.0125,-6.7775,90.0,top
D1,665.7125,6.6825,270.0,top
D2,665.7125,-0.0175,270.0,top
D21,623.217371,7.877236,90.0,top
D22,648.007629,48.177764,270.0,top
D23,630.7625,48.1825,270.0,top
D24,613.5525,48.1725,270.0,top
D25,631.087371,8.067236,90.0,top
D26,639.407629,48.237764,270.0,top
D27,622.1325,48.1825,270.0,top
D28,604.8625,48.2325,270.0,top
D29,596.1725,48.2325,270.0,top
D3,665.71,-13.6175,270.0,top
D30,578.9325,48.2175,270.0,top
D31,587.5625,48.1575,270.0,top
D32,570.2325,48.1675,270.0,top
D33,678.7,-16.4425,90.0,top
D34,678.7,-9.6425,90.0,top
D35,678.665,3.9225,90.0,top
D36,678.67,-2.8025,90.0,top
D37,681.62,23.6025,90.0,top
D38,681.62,30.3525,90.0,top
D39,681.62625,16.86125,90.0,top
D4,665.7625,-6.7775,270.0,top
D40,681.62625,10.10625,90.0,top
D41,682.18,78.5425,270.0,top
D42,682.18,71.7925,270.0,top
D43,682.1675,58.3075,270.0,top
D44,682.2,65.0225,270.0,top
D45,663.035,55.2575,90.0,top
D46,663.085,62.0575,90.0,top
D47,663.055,75.6075,90.0,top
D48,663.06,68.8475,90.0,top
D49,620.39,63.45,90.0,top
D50,579.59,63.45,90.0,top
D51,599.99,63.45,90.0,top
D52,640.59,63.45,90.0,top
F1,589.2216,-14.8325,90.0,top
F2,571.0325,15.7975,0.0,top
F3,592.1816,15.7975,0.0,top
F4,556.59,33.55,180.0,top
J1,629.2866,-7.9225,270.0,top
J11,644.6525,-17.0775,0.0,top
J16,562.09,73.255,180.0,top
J2,660.4625,5.5075,0.0,top
J26,623.05,73.255,180.0,top
J27,643.37,73.255,180.0,top
J28,624.537371,19.982236,270.0,top
J29,624.457371,13.777236,0.0,top
J3,660.4625,-1.2425,0.0,top
J30,644.697629,36.207764,90.0,top
J31,644.757629,42.327764,180.0,top
J32,627.4025,36.2025,90.0,top
J33,627.5225,42.3225,180.0,top
J34,610.1525,36.2025,90.0,top
J35,610.2325,42.3025,180.0,top
J36,633.187371,19.982236,270.0,top
J37,633.087371,13.827236,0.0,top
J38,636.047629,36.207764,90.0,top
J39,636.157629,42.387764,180.0,top
J4,660.46,-14.7925,0.0,top
J40,618.7725,36.2025,90.0,top
J41,618.8775,42.3175,180.0,top
J42,601.5025,36.2025,90.0,top
J43,601.5525,42.4125,180.0,top
J44,592.8625,36.2025,90.0,top
J45,592.9225,42.4025,180.0,top
J46,575.5825,36.2125,90.0,top
J47,575.6825,42.3675,180.0,top
J48,584.2125,36.2025,90.0,top
J49,584.3225,42.3925,180.0,top
J5,660.4625,-8.0275,0.0,top
J50,566.9325,36.2125,90.0,top
J51,567.0075,42.3975,180.0,top
J52,683.96,-14.7525,0.0,top
J53,683.96,-8.0025,0.0,top
J54,683.925,5.5025,0.0,top
J55,683.92,-1.2525,0.0,top
J56,686.89,24.7625,180.0,top
J57,686.87,31.5275,180.0,top
J58,686.89625,18.01125,180.0,top
J59,686.89625,11.25625,180.0,top
J6,643.9825,-1.8325,270.0,top
J60,676.7525,76.7375,180.0,top
J61,676.7525,69.9675,180.0,top
J62,676.7525,56.4575,180.0,top
J63,676.7625,63.2175,180.0,top
