Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C3, C52_2, C6, C7, C72, C73, C74, C75, C76, C77, C78, C79, C8, C80, C81, C82, C83, C84, C85, C86, C87, C9",603,23,4.7uF,C162274
"C11, C12",1210,2,4.7uF,C650971
"C13, C14",1206,2,470nF,C5448902
"C15, C16, C26, C39, C44, C53, C54, C55, C56, C57, C58, C59, C60, C61, C66, C67, C68, C69, C70, C71",402,20,100nF,C17702730
"C17, C45",402,2,1uF,C48986272
"C18, C19",402,2,56nF,C48642889
"C2, C22, C23, C4",C_Radial_D6.3mm_H7.0mm_P2.50mm,4,47uF,C42371892
"C20, C21",1206,2,2.2uF,C170101
"C24, C5",1210,2,10uF,C2178567
"C27, C28",603,2,100nF,C149620
C29,603,1,6.8pF,C376800
C30,402,1,6.8pF,C880645
"C31, C32",402,2,8.2nF,C49451355
"C33, C34",402,2,1nF,C301925
C35,805,1,47uF,C386022
"C40, C41",402,2,390pF,C49451349
"C42, C43",1210,2,22uF,C2918488
"C46, C47",603,2,2.2uF,C7432779
C52,603,1,4.7uF,C48579647
"D1, D2, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D51, D52",D_SOD-323,36,D55V0M1B2WS-7,C20615816
"F1, F4",Untitled,2,Fuse,C5249802
"F2, F3",XF-509P,2,Fuse,C41371872
J11,USB_C_Receptacle_Amphenol_124019772112A,1,USB_C_Receptacle_USB2.0_14P,C2927038
"J2, J29, J3, J31, J33, J35, J37, J39, J4, J41, J43, J45, J47, J49, J5, J51, J52, J53, J54, J55, J56, J57, J58, J59, J60, J61, J62, J63, J64, J65, J66, J67",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,32,JST-XH,C3012114
"J1,J16,J26, J27, J68, J69",KF135T-10.16-2P,6,Screw_Terminal_01x02,C475108
"J28, J30, J32, J34, J36, J38, J40, J42, J44, J46, J48, J50",PinHeader_2x03_P2.54mm_Vertical,12,jumpers,C42431837
J6,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,C5383112
"L1, L2, L4, L5",IND_SRP1038A_BRN-M,4,3.3uH,C3015512
L3,7x6.6mm-inductor-M,1,2.2uH,C41415584
"R1, R122, R123, R128, R129, R134, R135, R140, R141, R146, R147, R152, R153, R158, R159, R164, R165, R2, R29, R3, R4",1206,21,4.7k,C311962
"R10, R124, R125, R126, R127, R130, R131, R132, R133, R136, R137, R138, R139, R142, R143, R144, R145, R148, R149, R15, R150, R151, R154, R155, R156, R157, R16, R160, R161, R162, R163, R166, R167, R168, R169, R17, R18, R7, R8, R9",402,40,1k,C54102207
"R100, R102, R104, R106, R108, R110, R112, R114, R116, R118, R120, R98",603,12,2k,C217935
"R101, R103, R105, R107, R109, R111, R113, R115, R117, R119, R121, R99",603,12,20k,C50397009
"R11, R13",402,2,80.4k,C851509
"R12, R14",402,2,8.45k,C728566
"R19, R20",402,2,2.1ohm,C18164296
R21,402,1,5.76k,C49653870
R40,402,1,51k,C53109425
R41,402,1,22.1K,C852648
"R42, R43",603,2,1.02k,C50670244
"R44, R45",402,2,1.47k,C49654490
R46,402,1,1.5k,C281775
R47,402,1,3.4k,C852765
"R5, R6",603,2,1ohm,C2575859
"R52, R53",402,2,5.1k,C453708
R54,402,1,21k,C2998083
R55,402,1,18k,C49653933
"R60, R61",402,2,130ohm,C49653526
"R80, R84, R86, R88",402,5,2k,C54531046
"R22, R23, R24, R25, R26, R27,R81, R85, R87, R89",402,11,20k,C55098299
"R82, R83",603,2,43,C3017767
"R90, R91, R92, R93, R94",Milliohm HoT-2-4.5-11-I,5,0Ohm,C5357551
"SW1, SW2",CAX TS-1185-W-4P-H1.8-160,2,SW_Push,C2909682
"U1, U30, U31, U32, U33",TSSOP-14_4.4x5mm_P0.65mm,5,MCP6004,C42370557
"U10, U16, U17, U18, U19, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U34, U35, U7, U8, U9",DOZ45N03T,20,DOZ45N03T,C49441964
U11,SOT-23-6,1,USBLC6-2SC6,C7519
U14,LQFP-144_20x20mm_P0.5mm,1,STM32F407Z_E-G_Tx,C19156
U2,RJR0014A-MFG,1,LM61430AFSQRJRRQ1,C3188037
"U4, U5",RGY0020B,2,LM25145RGYR,C2876740
AA,na,12,jumper jumpers,C5305
